Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
MOB3C,1.869078036,2.330569932,0.940932154,2.476873514,0.013253886,0.033025151,AD
RP11-110G21.1,0.640303745,1.714040294,0.691927854,2.477195105,0.013241949,0.033001033,AD
VAMP3,5.055061686,1.508078568,0.505793879,2.981606997,0.002867398,0.032943791,MS
HLA-DRB1,59.42913509,1.377246842,0.461923856,2.981545171,0.002867977,0.032943791,MS
CHCHD10,13.60043443,1.403391552,0.470546294,2.982472863,0.0028593,0.032896878,MS
RPS21,13.49557087,2.133299839,0.715219514,2.982720408,0.002856989,0.032896707,MS
MINDY3,1.223849827,1.657907048,0.564668235,2.936072805,0.003323963,0.032763547,Epilepsy
DMAC1,0.775971131,1.80311089,0.605048933,2.980107544,0.002881472,0.032739131,LBD
PLPP3,2.227266541,1.752997835,0.588295867,2.97978948,0.002884465,0.032739131,LBD
MAMDC2,10.97809695,1.0673677,0.358104344,2.980605282,0.002876793,0.032739131,LBD
PRKX-AS1,0.554456435,1.230495221,0.495880978,2.481432593,0.013085546,0.032678099,AD
ACSS3,1.072288214,1.091414996,0.439797907,2.481628445,0.013078357,0.032671308,AD
RAD51AP1,1.388371018,1.555386223,0.521560382,2.982178626,0.00286205,0.032636742,LBD
UNC5D,4.533124618,1.957190206,0.619362828,3.160005925,0.001577659,0.032593122,COVID-19
AC004951.6,1.049144902,2.222187583,0.89493865,2.483061363,0.013025865,0.032562434,AD
SNRPB2,6.481863765,1.278254691,0.42790312,2.987252564,0.002814971,0.032465009,MS
FAM49A,17.61905994,1.254462587,0.419973062,2.987007265,0.00281723,0.032465009,MS
LINC01505,2.078716632,1.626498988,0.544790086,2.98555174,0.002830672,0.032393709,LBD
AC007952.4,1.119851497,2.76755626,0.874394288,3.165112464,0.00155023,0.032351118,COVID-19
RP11-613M10.9,1.406262029,2.39278429,0.962281996,2.486572855,0.012898016,0.032314669,AD
AF241726.2,0.627477793,1.825480565,0.610951897,2.987928467,0.002808753,0.032219707,LBD
DNAAF4,0.838223183,1.651373663,0.552624095,2.988240427,0.002805887,0.032219707,LBD
HBP1,8.090748411,1.034635211,0.346023901,2.990068631,0.002789148,0.032193192,MS
CMB9-22P13.1,0.494898014,1.792886388,0.720550483,2.488217591,0.012838516,0.032182143,AD
MYOT,0.494392905,1.805233484,0.603973749,2.988927062,0.00279959,0.032175471,LBD
DSCR3,2.789070918,1.708375582,0.686264144,2.489384878,0.012796435,0.032104185,AD
LINC01170,2.187510965,2.608211387,0.871968619,2.99117575,0.002779055,0.032102567,MS
AMT,1.553604151,1.583495123,0.635968843,2.489894185,0.012778113,0.032069225,AD
ING3,3.621728952,1.192458913,0.398523333,2.992193465,0.002769807,0.032021559,MS
RP11-403I13.5,0.662143408,2.035785782,0.817400049,2.490562342,0.012754112,0.032014485,AD
RNF146,8.164551016,1.102948502,0.368557754,2.992606969,0.002766057,0.032004041,MS
ZNRD1-AS1,3.054414279,1.701908011,0.683006787,2.491787847,0.012710193,0.031937146,AD
CR1L,0.873603832,2.557181292,0.854160759,2.993793926,0.00275532,0.031905578,MS
RP11-65I12.1,1.841019916,2.310012158,0.926692948,2.492748178,0.012675871,0.031861857,AD
SYNC,3.269484032,1.024053623,0.341873925,2.995413071,0.002740734,0.031723509,LBD
FAM175A,1.468293488,1.678545597,0.672116333,2.497403373,0.012510656,0.031527887,AD
MDP1,0.770269551,1.812103804,0.725483973,2.497786128,0.012497157,0.031504731,AD
OST4,9.202945303,1.563551926,0.521461904,2.998401061,0.002714003,0.031503544,MS
TMEM50A,8.501844161,1.325775161,0.442145314,2.998505514,0.002713072,0.031503544,MS
